,title,subtitles,link
0,GEOR BLIMEY,Cristiano Ronaldo's Wag Georgina Rodriguez steals show at Globe Soccer Awards,https://www.thesun.co.uk/sport/32506639/georgina-rodriguez-man-utd-cristiano-ronaldo-real-madrid/
1,BRIGHTON 0 BRENTFORD 0,Latest as Bees look to end torrid away run at the Amex,https://www.thesun.co.uk/sport/32506976/brighton-vs-brentford-live-score-result-premier-league-updates/
2,NO RASH,Juventus reject offer to sign Rashford with Italian giants keen on Utd pal instead,https://www.thesun.co.uk/sport/32501017/juventus-reject-transfer-marcus-rashford-joshua-zirkzee/
3,COUNT ON ROO,Wayne Rooney breaks silence on facing sack with Argyle's form the worst in EFL,https://www.thesun.co.uk/sport/32504254/wayne-rooney-plymouth-argyle-sack/
4,SHOWDOWN,"Arsenal vs Ipswich preview: Free betting tips, odds and predictions",https://www.thesun.co.uk/sport/32455379/arsenal-vs-ipswich-preview-tips-prediction/
5,A-MAD FALLOUT,Man Utd fans spot Hojlund fuming at Diallo for second time in a fortnight,https://www.thesun.co.uk/sport/32505262/man-utd-rasmus-hojlund-amad-diallo-wolves/
6,RU'D AWAKENING,Amorim concerned with Onana as Man Utd boss plots keeper signing,https://www.thesun.co.uk/sport/32506485/ruben-amorim-andre-onana-transfer-senne-lammens/
7,DIAZ'S SCARE,Liverpool star Diaz's dad rushed to hospital 13 months after kidnap hell,https://www.thesun.co.uk/sport/32498559/liverpool-luis-diaz-dad-health-hospital/
8,NON THE WISER,Maresca's brutal warning to Chelsea stars after Madueke and newbie dropped,https://www.thesun.co.uk/sport/32501609/chelsea-noni-madueke-enzo-maresca/
9,OH MY GAR-D,BBC viewers left stunned by sound of Gary Lineker's voice on Boxing Day's MOTD,https://www.thesun.co.uk/sport/32497387/gary-lineker-voice-match-of-the-day/
10,SUPER BAD NEWS,Supercomputer predicts all-time low for Man Utd in horror end to season,https://www.thesun.co.uk/sport/32504380/supercomputer-predicts-man-utd-amorim-worst-finish/
11,'MAKE YOUR OWN MIND UP',Amorim gives worrying update on axed star Rashford's Man Utd future,https://www.thesun.co.uk/sport/32494506/marcus-rashford-man-utd-update-amorim/
12,BOTTOM LINE,Amorim on mission to steer Utd away from relegation as he rules out Europe bid,https://www.thesun.co.uk/sport/32496231/ruben-amorim-man-utd-relegation-fear-rules-out-europe/
13,RED ALERT,Man Utd flops BOOED OFF after 2-0 Wolves loss leaves them 8 points off the drop,https://www.thesun.co.uk/sport/32494489/man-utd-booed-fans-wolves-relegation/
14,REDDY-MADE GOALS,Harry Maguire reveals Man Utd weakness that rivals are 'targeting',https://www.thesun.co.uk/sport/32495514/harry-maguire-man-utd-weakness-targeting-wolves/
